fingerprint_id,n_nodes,n_parameters,attention_variant,norm_type,payload,first_seen_at
1304c034ffc09ddd,564,66955010,mha,layernorm,"{""activation_fns"":[""Erf"",""Relu""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":104},""hidden_size"":null,""input_shapes"":{""attention_mask"":[""batch"",""sequence""],""input_ids"":[""batch"",""sequence""]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":104,""n_kv_heads"":12,""n_layers"":6,""n_nodes"":564,""n_parameters"":66955010,""norm_type"":""layernorm"",""op_histogram"":{""Add"":62,""And"":2,""Cast"":6,""Concat"":26,""Constant"":183,""ConstantOfShape"":2,""Div"":6,""Equal"":1,""Erf"":6,""Expand"":1,""Flatten"":1,""Gather"":19,""Gemm"":2,""GreaterOrEqual"":1,""IsNaN"":6,""LayerNormalization"":13,""MatMul"":48,""Mul"":26,""Range"":3,""Relu"":1,""Reshape"":27,""Shape"":17,""Slice"":1,""Softmax"":6,""Transpose"":24,""Unsqueeze"":61,""Where"":13},""opset"":{""ai.onnx"":17},""output_shapes"":{""logits"":[""batch"",2]}}",2026-08-08 15:32:00.298666-04
82d443669efe1c99,343,66955010,mha,layernorm,"{""activation_fns"":[""Erf"",""Relu""],""attention_variant"":""mha"",""dtype_histogram"":{""float16"":104},""hidden_size"":null,""input_shapes"":{""attention_mask"":[1,128],""input_ids"":[1,128]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":104,""n_kv_heads"":12,""n_layers"":6,""n_nodes"":343,""n_parameters"":66955010,""norm_type"":""layernorm"",""op_histogram"":{""Add"":62,""And"":2,""Cast"":4,""Concat"":1,""Constant"":84,""ConstantOfShape"":2,""Div"":6,""Equal"":1,""Erf"":6,""Expand"":1,""Flatten"":1,""Gather"":5,""Gemm"":2,""GreaterOrEqual"":1,""IsNaN"":6,""LayerNormalization"":13,""MatMul"":48,""Mul"":26,""Relu"":1,""Reshape"":26,""Shape"":2,""Softmax"":6,""Transpose"":24,""Where"":13},""opset"":{""ai.onnx"":17},""output_shapes"":{""logits"":[1,2]}}",2026-08-08 15:32:00.29966-04
b9967d7363dfa254,486,66955090,mha,layernorm,"{""activation_fns"":[""Erf"",""Relu""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":104,""int8"":76,""uint8"":4},""hidden_size"":null,""input_shapes"":{""attention_mask"":[1,128],""input_ids"":[1,128]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":184,""n_kv_heads"":12,""n_layers"":6,""n_nodes"":486,""n_parameters"":66955090,""norm_type"":""layernorm"",""op_histogram"":{""Add"":64,""And"":2,""Cast"":41,""Concat"":1,""Constant"":84,""ConstantOfShape"":2,""DequantizeLinear"":2,""Div"":6,""DynamicQuantizeLinear"":26,""Equal"":1,""Erf"":6,""Expand"":1,""Flatten"":1,""Gather"":5,""GreaterOrEqual"":1,""IsNaN"":6,""LayerNormalization"":13,""MatMul"":12,""MatMulInteger"":38,""Mul"":102,""Relu"":1,""Reshape"":26,""Shape"":2,""Softmax"":6,""Transpose"":24,""Where"":13},""opset"":{""ai.onnx"":17},""output_shapes"":{""logits"":[1,2]}}",2026-08-08 15:32:00.300742-04
d8997a2e22c73212,486,67039498,mha,layernorm,"{""activation_fns"":[""Erf"",""Relu""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":104,""int8"":76,""uint8"":4},""hidden_size"":null,""input_shapes"":{""attention_mask"":[1,128],""input_ids"":[1,128]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":184,""n_kv_heads"":12,""n_layers"":6,""n_nodes"":486,""n_parameters"":67039498,""norm_type"":""layernorm"",""op_histogram"":{""Add"":64,""And"":2,""Cast"":41,""Concat"":1,""Constant"":84,""ConstantOfShape"":2,""DequantizeLinear"":2,""Div"":6,""DynamicQuantizeLinear"":26,""Equal"":1,""Erf"":6,""Expand"":1,""Flatten"":1,""Gather"":5,""GreaterOrEqual"":1,""IsNaN"":6,""LayerNormalization"":13,""MatMul"":12,""MatMulInteger"":38,""Mul"":102,""Relu"":1,""Reshape"":26,""Shape"":2,""Softmax"":6,""Transpose"":24,""Where"":13},""opset"":{""ai.onnx"":17},""output_shapes"":{""logits"":[1,2]}}",2026-08-08 15:32:00.301785-04
07300048e0b28559,3838,1498482688,gqa,unknown,"{""activation_fns"":[""Sigmoid""],""attention_variant"":""gqa"",""dtype_histogram"":{""float"":147},""hidden_size"":null,""input_shapes"":{""attention_mask"":[1,""total""],""input_ids"":[1,""seq""],""past.0.key"":[1,8,""past_len"",64],""past.0.value"":[1,8,""past_len"",64],""past.1.key"":[1,8,""past_len"",64],""past.1.value"":[1,8,""past_len"",64],""past.10.key"":[1,8,""past_len"",64],""past.10.value"":[1,8,""past_len"",64],""past.11.key"":[1,8,""past_len"",64],""past.11.value"":[1,8,""past_len"",64],""past.12.key"":[1,8,""past_len"",64],""past.12.value"":[1,8,""past_len"",64],""past.13.key"":[1,8,""past_len"",64],""past.13.value"":[1,8,""past_len"",64],""past.14.key"":[1,8,""past_len"",64],""past.14.value"":[1,8,""past_len"",64],""past.15.key"":[1,8,""past_len"",64],""past.15.value"":[1,8,""past_len"",64],""past.2.key"":[1,8,""past_len"",64],""past.2.value"":[1,8,""past_len"",64],""past.3.key"":[1,8,""past_len"",64],""past.3.value"":[1,8,""past_len"",64],""past.4.key"":[1,8,""past_len"",64],""past.4.value"":[1,8,""past_len"",64],""past.5.key"":[1,8,""past_len"",64],""past.5.value"":[1,8,""past_len"",64],""past.6.key"":[1,8,""past_len"",64],""past.6.value"":[1,8,""past_len"",64],""past.7.key"":[1,8,""past_len"",64],""past.7.value"":[1,8,""past_len"",64],""past.8.key"":[1,8,""past_len"",64],""past.8.value"":[1,8,""past_len"",64],""past.9.key"":[1,8,""past_len"",64],""past.9.value"":[1,8,""past_len"",64],""position_ids"":[1,""seq""]},""kv_cache_layout"":null,""n_heads"":32,""n_initializers"":147,""n_kv_heads"":8,""n_layers"":16,""n_nodes"":3838,""n_parameters"":1498482688,""norm_type"":""unknown"",""op_histogram"":{""Add"":114,""And"":2,""Cast"":142,""Concat"":196,""Constant"":1353,""ConstantOfShape"":35,""Cos"":1,""Div"":65,""Equal"":34,""Expand"":34,""Flatten"":1,""Gather"":198,""IsNaN"":16,""LessOrEqual"":1,""MatMul"":146,""Mul"":263,""Neg"":32,""Pow"":33,""Range"":3,""ReduceMean"":33,""Reshape"":132,""Shape"":231,""Sigmoid"":16,""Sin"":1,""Slice"":64,""Softmax"":16,""Sqrt"":33,""Transpose"":81,""Unsqueeze"":496,""Where"":66},""opset"":{""ai.onnx"":17},""output_shapes"":{""logits"":[""MatMullogits_dim_0"",""seq"",128256],""present.0.key"":[1,8,""total"",64],""present.0.value"":[1,8,""total"",64],""present.1.key"":[1,8,""total"",64],""present.1.value"":[1,8,""total"",64],""present.10.key"":[1,8,""total"",64],""present.10.value"":[1,8,""total"",64],""present.11.key"":[1,8,""total"",64],""present.11.value"":[1,8,""total"",64],""present.12.key"":[1,8,""total"",64],""present.12.value"":[1,8,""total"",64],""present.13.key"":[1,8,""total"",64],""present.13.value"":[1,8,""total"",64],""present.14.key"":[1,8,""total"",64],""present.14.value"":[1,8,""total"",64],""present.15.key"":[1,8,""total"",64],""present.15.value"":[1,8,""total"",64],""present.2.key"":[1,8,""total"",64],""present.2.value"":[1,8,""total"",64],""present.3.key"":[1,8,""total"",64],""present.3.value"":[1,8,""total"",64],""present.4.key"":[1,8,""total"",64],""present.4.value"":[1,8,""total"",64],""present.5.key"":[1,8,""total"",64],""present.5.value"":[1,8,""total"",64],""present.6.key"":[1,8,""total"",64],""present.6.value"":[1,8,""total"",64],""present.7.key"":[1,8,""total"",64],""present.7.value"":[1,8,""total"",64],""present.8.key"":[1,8,""total"",64],""present.8.value"":[1,8,""total"",64],""present.9.key"":[1,8,""total"",64],""present.9.value"":[1,8,""total"",64]}}",2026-08-08 15:32:00.30296-04
1c719eafe91daac0,492,87454464,mha,layernorm,"{""activation_fns"":[""Sigmoid""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":197},""hidden_size"":null,""input_shapes"":{""pixel_values"":[1,3,224,224]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":197,""n_kv_heads"":12,""n_layers"":12,""n_nodes"":492,""n_parameters"":87454464,""norm_type"":""layernorm"",""op_histogram"":{""Add"":97,""Cast"":1,""Concat"":2,""Constant"":92,""ConstantOfShape"":1,""Conv"":1,""Equal"":1,""Expand"":1,""Gather"":1,""LayerNormalization"":25,""MatMul"":96,""Mul"":49,""Reshape"":49,""Shape"":1,""Sigmoid"":12,""Slice"":1,""Softmax"":12,""Transpose"":49,""Where"":1},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[1,50,768]}}",2026-08-08 15:32:00.304111-04
1fe3e16c33dd3cb8,849,87454464,mha,layernorm,"{""activation_fns"":[""Sigmoid""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":197},""hidden_size"":null,""input_shapes"":{""pixel_values"":[""batch"",3,224,224]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":197,""n_kv_heads"":12,""n_layers"":12,""n_nodes"":849,""n_parameters"":87454464,""norm_type"":""layernorm"",""op_histogram"":{""Add"":97,""Cast"":1,""Concat"":51,""Constant"":251,""ConstantOfShape"":1,""Conv"":1,""Equal"":1,""Expand"":1,""Gather"":26,""LayerNormalization"":25,""MatMul"":96,""Mul"":49,""Reshape"":50,""Shape"":27,""Sigmoid"":12,""Slice"":1,""Softmax"":12,""Transpose"":49,""Unsqueeze"":97,""Where"":1},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[""batch"",""Addlast_hidden_state_dim_1"",""Addlast_hidden_state_dim_2""]}}",2026-08-08 15:32:00.305116-04
b387963b1a3530d1,761,87454612,mha,layernorm,"{""activation_fns"":[""Sigmoid""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":197,""int8"":146,""uint8"":2},""hidden_size"":null,""input_shapes"":{""pixel_values"":[1,3,224,224]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":345,""n_kv_heads"":12,""n_layers"":12,""n_nodes"":761,""n_parameters"":87454612,""norm_type"":""layernorm"",""op_histogram"":{""Add"":97,""Cast"":74,""Concat"":2,""Constant"":92,""ConstantOfShape"":1,""ConvInteger"":1,""DequantizeLinear"":1,""DynamicQuantizeLinear"":49,""Equal"":1,""Expand"":1,""Gather"":1,""LayerNormalization"":25,""MatMul"":24,""MatMulInteger"":72,""Mul"":195,""Reshape"":49,""Shape"":1,""Sigmoid"":12,""Slice"":1,""Softmax"":12,""Transpose"":49,""Where"":1},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[1,50,768]}}",2026-08-08 15:32:00.306105-04
0b2c5460043afa66,761,87620356,mha,layernorm,"{""activation_fns"":[""Sigmoid""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":197,""int8"":146,""uint8"":2},""hidden_size"":null,""input_shapes"":{""pixel_values"":[1,3,224,224]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":345,""n_kv_heads"":12,""n_layers"":12,""n_nodes"":761,""n_parameters"":87620356,""norm_type"":""layernorm"",""op_histogram"":{""Add"":97,""Cast"":74,""Concat"":2,""Constant"":92,""ConstantOfShape"":1,""ConvInteger"":1,""DequantizeLinear"":1,""DynamicQuantizeLinear"":49,""Equal"":1,""Expand"":1,""Gather"":1,""LayerNormalization"":25,""MatMul"":24,""MatMulInteger"":72,""Mul"":195,""Reshape"":49,""Shape"":1,""Sigmoid"":12,""Slice"":1,""Softmax"":12,""Transpose"":49,""Where"":1},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[1,50,768]}}",2026-08-08 15:32:00.307083-04
2853e7f136ca6c82,339,22565376,mha,layernorm,"{""activation_fns"":[""Erf""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":101},""hidden_size"":null,""input_shapes"":{""attention_mask"":[1,128],""input_ids"":[1,128],""token_type_ids"":[1,128]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":101,""n_kv_heads"":12,""n_layers"":6,""n_nodes"":339,""n_parameters"":22565376,""norm_type"":""layernorm"",""op_histogram"":{""Add"":63,""And"":2,""Cast"":3,""Concat"":1,""Constant"":83,""ConstantOfShape"":2,""Div"":6,""Equal"":1,""Erf"":6,""Expand"":1,""Flatten"":1,""Gather"":5,""GreaterOrEqual"":1,""IsNaN"":6,""LayerNormalization"":13,""MatMul"":48,""Mul"":26,""Reshape"":26,""Shape"":2,""Softmax"":6,""Transpose"":24,""Where"":13},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[1,128,384]}}",2026-08-08 15:32:00.308095-04
